"";"q1";"q2";"q3";"q4";"q5";"q6";"q7";"q8";"q9";"q10";"q25";"q26";"q27";"q28";"q29";"q30";"q31"
"sub01377";0,67;0,2;0,05;0,58;0,9;0,5;0,67;0,73;0,95;0,79;0,01;0,14;0,97;0,97;0,96;0,63;0,9
"sub00599";0,02;0,26;0,999;0,78;0,16;0,14;0,14;0,08;0,03;0,55;0,17;0,11;0,01;0,001;0,999;0,02;0,01
"sub00126";0,32;0,41;0,83;0,999;0,74;0,68;0,69;0,51;0,23;0,51;0,01;0,59;0,42;0,32;0,62;0,26;0,89
"sub01293";0,68;0,69;0,23;0,38;0,999;0,57;0,76;0,9;0,98;0,62;0,001;0,15;0,41;0,78;0,69;0,26;0,34
"sub01148";0,53;0,999;0,3;0,999;0,34;0,37;0,69;0,35;0,999;0,999;0,21;0,36;0,51;0,74;0,69;0,29;0,55
"sub00791";0,44;0,67;0,27;0,51;0,999;0,45;0,43;0,49;0,92;0,65;0,05;0,999;0,29;0,42;0,52;0,74;0,52
"sub00594";0,49;0,51;0,51;0,49;0,5;0,51;0,67;0,71;0,45;0,55;0,01;0,15;0,16;0,09;0,47;0,57;0,49
"sub00498";0,19;0,76;0,34;0,68;0,28;0,37;0,51;0,52;0,22;0,25;0,11;0,24;0,68;0,73;0,71;0,8;0,9
"sub00519";0,49;0,51;0,5;0,8;0,49;0,49;0,999;0,999;0,76;0,5;0,28;0,5;0,57;0,49;0,34;0,5;0,72
"sub01130";0,85;0,19;0,001;0,1;0,34;0,26;0,31;0,31;0,48;0,5;0,13;0,49;0,04;0,08;0,72;0,67;0,93
"sub00889";0,02;0,001;0,001;0,59;0,56;0,54;0,8;0,999;0,93;0,33;0,04;0,07;0,03;0,01;0,82;0,04;0,02
"sub01021";0,26;0,25;0,06;0,9;0,68;0,78;0,999;0,999;0,999;0,34;0,001;0,01;0,14;0,07;0,79;0,1;0,04
"sub00872";0,42;0,32;0,14;0,64;0,47;0,78;0,61;0,59;0,8;0,48;0,59;0,38;0,51;0,88;0,91;0,75;0,51
"sub00252";0,17;0,26;0,41;0,87;0,38;0,29;0,32;0,52;0,999;0,2;0,001;0,001;0,001;0,24;0,999;0,001;0,001
"sub00660";0,44;0,62;0,72;0,65;0,75;0,54;0,72;0,58;0,73;0,62;0,57;0,25;0,63;0,49;0,75;0,69;0,5
"sub01163";0,77;0,35;0,07;0,5;0,77;0,77;0,81;0,81;0,92;0,32;0,001;0,57;0,001;0,999;0,67;0,28;0,999
